Pros,0_Original,1_Lower_Punct,2_StopWords,3_Lemmatization,4_Tokens,5_PoS_Tags,VADER_Sentiment
"Working at ADIB offers a dynamic environment with a focus on innovation and digital banking. Employees benefit from comprehensive career development programs diverse and inclusive workplace culture, and competitive benefits including health insurance and performance bonuses. ADIB’s commitment to ethical practices and social responsibility ensures a meaningful work experience. The bank also supports work-life balance with flexible arrangements and wellness programs, and provides opportunities to engage in community development. Strong leadership drives the organization’s vision, creating a positive and forward-thinking atmosphere.","Working at ADIB offers a dynamic environment with a focus on innovation and digital banking. Employees benefit from comprehensive career development programs diverse and inclusive workplace culture, and competitive benefits including health insurance and performance bonuses. ADIB’s commitment to ethical practices and social responsibility ensures a meaningful work experience. The bank also supports work-life balance with flexible arrangements and wellness programs, and provides opportunities to engage in community development. Strong leadership drives the organization’s vision, creating a positive and forward-thinking atmosphere.",working at adib offers a dynamic environment with a focus on innovation and digital banking employees benefit from comprehensive career development programs diverse and inclusive workplace culture and competitive benefits including health insurance and performance bonuses adibs commitment to ethical practices and social responsibility ensures a meaningful work experience the bank also supports worklife balance with flexible arrangements and wellness programs and provides opportunities to engage in community development strong leadership drives the organizations vision creating a positive and forwardthinking atmosphere,working adib offers dynamic environment focus innovation digital banking employees benefit comprehensive career development programs diverse inclusive workplace culture competitive benefits including health insurance performance bonuses adibs commitment ethical practices social responsibility ensures meaningful work experience bank also supports worklife balance flexible arrangements wellness programs provides opportunities engage community development strong leadership drives organizations vision creating positive forwardthinking atmosphere,working adib offer dynamic environment focus innovation digital banking employee benefit comprehensive career development program diverse inclusive workplace culture competitive benefit including health insurance performance bonus adibs commitment ethical practice social responsibility ensures meaningful work experience bank also support worklife balance flexible arrangement wellness program provides opportunity engage community development strong leadership drive organization vision creating positive forwardthinking atmosphere,"['working', 'adib', 'offer', 'dynamic', 'environment', 'focus', 'innovation', 'digital', 'banking', 'employee', 'benefit', 'comprehensive', 'career', 'development', 'program', 'diverse', 'inclusive', 'workplace', 'culture', 'competitive', 'benefit', 'including', 'health', 'insurance', 'performance', 'bonus', 'adibs', 'commitment', 'ethical', 'practice', 'social', 'responsibility', 'ensures', 'meaningful', 'work', 'experience', 'bank', 'also', 'support', 'worklife', 'balance', 'flexible', 'arrangement', 'wellness', 'program', 'provides', 'opportunity', 'engage', 'community', 'development', 'strong', 'leadership', 'drive', 'organization', 'vision', 'creating', 'positive', 'forwardthinking', 'atmosphere']","[('working', 'VBG'), ('adib', 'NN'), ('offer', 'VBP'), ('dynamic', 'JJ'), ('environment', 'NN'), ('focus', 'NN'), ('innovation', 'NN'), ('digital', 'NN'), ('banking', 'NN'), ('employee', 'NN'), ('benefit', 'NN'), ('comprehensive', 'JJ'), ('career', 'NN'), ('development', 'NN'), ('program', 'NN'), ('diverse', 'NN'), ('inclusive', 'JJ'), ('workplace', 'NN'), ('culture', 'NN'), ('competitive', 'JJ'), ('benefit', 'NN'), ('including', 'VBG'), ('health', 'NN'), ('insurance', 'NN'), ('performance', 'NN'), ('bonus', 'NN'), ('adibs', 'JJ'), ('commitment', 'NN'), ('ethical', 'JJ'), ('practice', 'NN'), ('social', 'JJ'), ('responsibility', 'NN'), ('ensures', 'VBZ'), ('meaningful', 'JJ'), ('work', 'NN'), ('experience', 'NN'), ('bank', 'NN'), ('also', 'RB'), ('support', 'JJ'), ('worklife', 'NN'), ('balance', 'NN'), ('flexible', 'JJ'), ('arrangement', 'NN'), ('wellness', 'NN'), ('program', 'NN'), ('provides', 'VBZ'), ('opportunity', 'NN'), ('engage', 'NN'), ('community', 'NN'), ('development', 'NN'), ('strong', 'JJ'), ('leadership', 'NN'), ('drive', 'NN'), ('organization', 'NN'), ('vision', 'NN'), ('creating', 'VBG'), ('positive', 'JJ'), ('forwardthinking', 'NN'), ('atmosphere', 'NN')]",Positive
stability and fast learning curve,stability and fast learning curve,stability and fast learning curve,stability fast learning curve,stability fast learning curve,"['stability', 'fast', 'learning', 'curve']","[('stability', 'NN'), ('fast', 'RB'), ('learning', 'JJ'), ('curve', 'NN')]",Neutral
"experience is great 
allows you to find better career opportunities","experience is great 
allows you to find better career opportunities","experience is great 
allows you to find better career opportunities",experience great allows find better career opportunities,experience great allows find better career opportunity,"['experience', 'great', 'allows', 'find', 'better', 'career', 'opportunity']","[('experience', 'NN'), ('great', 'JJ'), ('allows', 'VBZ'), ('find', 'VBP'), ('better', 'JJR'), ('career', 'NN'), ('opportunity', 'NN')]",Positive
environment is really amazing ever,environment is really amazing ever,environment is really amazing ever,environment really amazing ever,environment really amazing ever,"['environment', 'really', 'amazing', 'ever']","[('environment', 'NN'), ('really', 'RB'), ('amazing', 'JJ'), ('ever', 'RB')]",Positive
"Salary on time
Leaves allowance","Salary on time
Leaves allowance","salary on time
leaves allowance",salary time leaves allowance,salary time leaf allowance,"['salary', 'time', 'leaf', 'allowance']","[('salary', 'JJ'), ('time', 'NN'), ('leaf', 'NN'), ('allowance', 'NN')]",Neutral
good place to work in,good place to work in,good place to work in,good place work,good place work,"['good', 'place', 'work']","[('good', 'JJ'), ('place', 'NN'), ('work', 'NN')]",Positive
There a great learning opportunity,There a great learning opportunity,there a great learning opportunity,great learning opportunity,great learning opportunity,"['great', 'learning', 'opportunity']","[('great', 'JJ'), ('learning', 'JJ'), ('opportunity', 'NN')]",Positive
Islamic Bank with talented staff,Islamic Bank with talented staff,islamic bank with talented staff,islamic bank talented staff,islamic bank talented staff,"['islamic', 'bank', 'talented', 'staff']","[('islamic', 'JJ'), ('bank', 'NN'), ('talented', 'VBD'), ('staff', 'NN')]",Positive
you will have a great experience,you will have a great experience,you will have a great experience,great experience,great experience,"['great', 'experience']","[('great', 'JJ'), ('experience', 'NN')]",Positive
Medical insurance bounse and profit share bemefits,Medical insurance bounse and profit share bemefits,medical insurance bounse and profit share bemefits,medical insurance bounse profit share bemefits,medical insurance bounse profit share bemefits,"['medical', 'insurance', 'bounse', 'profit', 'share', 'bemefits']","[('medical', 'JJ'), ('insurance', 'NN'), ('bounse', 'NN'), ('profit', 'NN'), ('share', 'NN'), ('bemefits', 'NNS')]",Positive
Great Work Environment &amp; product knowkedge,Great Work Environment &amp; product knowkedge,great work environment amp product knowkedge,great work environment amp product knowkedge,great work environment amp product knowkedge,"['great', 'work', 'environment', 'amp', 'product', 'knowkedge']","[('great', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('amp', 'JJ'), ('product', 'NN'), ('knowkedge', 'NN')]",Positive
good work enviroment and good managers,good work enviroment and good managers,good work enviroment and good managers,good work enviroment good managers,good work enviroment good manager,"['good', 'work', 'enviroment', 'good', 'manager']","[('good', 'JJ'), ('work', 'NN'), ('enviroment', 'NN'), ('good', 'JJ'), ('manager', 'NN')]",Positive
Not many to consider really,Not many to consider really,not many to consider really,many consider really,many consider really,"['many', 'consider', 'really']","[('many', 'JJ'), ('consider', 'VBP'), ('really', 'RB')]",Neutral
Maybe cultural is good .,Maybe cultural is good .,maybe cultural is good ,maybe cultural good,maybe cultural good,"['maybe', 'cultural', 'good']","[('maybe', 'RB'), ('cultural', 'JJ'), ('good', 'JJ')]",Positive
"Islamic, Salary
Environment
Growth
Career path","Islamic, Salary
Environment
Growth
Career path","islamic salary
environment
growth
career path",islamic salary environment growth career path,islamic salary environment growth career path,"['islamic', 'salary', 'environment', 'growth', 'career', 'path']","[('islamic', 'JJ'), ('salary', 'JJ'), ('environment', 'NN'), ('growth', 'NN'), ('career', 'NN'), ('path', 'NN')]",Positive
Incentives Basic Salary Insurance Visa Air Ticket every 2 years,Incentives Basic Salary Insurance Visa Air Ticket every 2 years,incentives basic salary insurance visa air ticket every 2 years,incentives basic salary insurance visa air ticket every 2 years,incentive basic salary insurance visa air ticket every 2 year,"['incentive', 'basic', 'salary', 'insurance', 'visa', 'air', 'ticket', 'every', '2', 'year']","[('incentive', 'NN'), ('basic', 'JJ'), ('salary', 'JJ'), ('insurance', 'NN'), ('visa', 'NNS'), ('air', 'NN'), ('ticket', 'NN'), ('every', 'DT'), ('2', 'CD'), ('year', 'NN')]",Positive
Good enviroment to work in,Good enviroment to work in,good enviroment to work in,good enviroment work,good enviroment work,"['good', 'enviroment', 'work']","[('good', 'JJ'), ('enviroment', 'NN'), ('work', 'NN')]",Positive
Friendly co workers and respectful management ,Friendly co workers and respectful management ,friendly co workers and respectful management ,friendly co workers respectful management,friendly co worker respectful management,"['friendly', 'co', 'worker', 'respectful', 'management']","[('friendly', 'RB'), ('co', 'JJ'), ('worker', 'NN'), ('respectful', 'JJ'), ('management', 'NN')]",Positive
Good place and work environment,Good place and work environment,good place and work environment,good place work environment,good place work environment,"['good', 'place', 'work', 'environment']","[('good', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('environment', 'NN')]",Positive
Good atmosphere. Large coverage in UAE.,Good atmosphere. Large coverage in UAE.,good atmosphere large coverage in uae,good atmosphere large coverage uae,good atmosphere large coverage uae,"['good', 'atmosphere', 'large', 'coverage', 'uae']","[('good', 'JJ'), ('atmosphere', 'RB'), ('large', 'JJ'), ('coverage', 'NN'), ('uae', 'NN')]",Positive
"Friendly ,helpful working environment,colleagues behaviour is so decent ,even your leader the whole management is so supportive and reliable","Friendly ,helpful working environment,colleagues behaviour is so decent ,even your leader the whole management is so supportive and reliable",friendly helpful working environmentcolleagues behaviour is so decent even your leader the whole management is so supportive and reliable,friendly helpful working environmentcolleagues behaviour decent even leader whole management supportive reliable,friendly helpful working environmentcolleagues behaviour decent even leader whole management supportive reliable,"['friendly', 'helpful', 'working', 'environmentcolleagues', 'behaviour', 'decent', 'even', 'leader', 'whole', 'management', 'supportive', 'reliable']","[('friendly', 'RB'), ('helpful', 'JJ'), ('working', 'VBG'), ('environmentcolleagues', 'NNS'), ('behaviour', 'VBP'), ('decent', 'JJ'), ('even', 'RB'), ('leader', 'NN'), ('whole', 'JJ'), ('management', 'NN'), ('supportive', 'NN'), ('reliable', 'NN')]",Positive
Good organization to gain experience.,Good organization to gain experience.,good organization to gain experience,good organization gain experience,good organization gain experience,"['good', 'organization', 'gain', 'experience']","[('good', 'JJ'), ('organization', 'NN'), ('gain', 'NN'), ('experience', 'NN')]",Positive
Nice place to work in ADIB bank,Nice place to work in ADIB bank,nice place to work in adib bank,nice place work adib bank,nice place work adib bank,"['nice', 'place', 'work', 'adib', 'bank']","[('nice', 'JJ'), ('place', 'NN'), ('work', 'NN'), ('adib', 'RB'), ('bank', 'NN')]",Positive
Forward and progressive organisation that uses technology to move forward,Forward and progressive organisation that uses technology to move forward,forward and progressive organisation that uses technology to move forward,forward progressive organisation uses technology move forward,forward progressive organisation us technology move forward,"['forward', 'progressive', 'organisation', 'us', 'technology', 'move', 'forward']","[('forward', 'RB'), ('progressive', 'JJ'), ('organisation', 'NN'), ('us', 'PRP'), ('technology', 'NN'), ('move', 'VB'), ('forward', 'RB')]",Neutral
No growth even if you work 10 years,No growth even if you work 10 years,no growth even if you work 10 years,growth even work 10 years,growth even work 10 year,"['growth', 'even', 'work', '10', 'year']","[('growth', 'NN'), ('even', 'RB'), ('work', 'VB'), ('10', 'CD'), ('year', 'NN')]",Negative
Latest technologies stack and seriously good people and management,Latest technologies stack and seriously good people and management,latest technologies stack and seriously good people and management,latest technologies stack seriously good people management,latest technology stack seriously good people management,"['latest', 'technology', 'stack', 'seriously', 'good', 'people', 'management']","[('latest', 'JJS'), ('technology', 'NN'), ('stack', 'NN'), ('seriously', 'RB'), ('good', 'JJ'), ('people', 'NNS'), ('management', 'NN')]",Positive
Wonderful people and mindsets. Opportunity for promotion and joining many scopes. Respectful managers.,Wonderful people and mindsets. Opportunity for promotion and joining many scopes. Respectful managers.,wonderful people and mindsets opportunity for promotion and joining many scopes respectful managers,wonderful people mindsets opportunity promotion joining many scopes respectful managers,wonderful people mindset opportunity promotion joining many scope respectful manager,"['wonderful', 'people', 'mindset', 'opportunity', 'promotion', 'joining', 'many', 'scope', 'respectful', 'manager']","[('wonderful', 'JJ'), ('people', 'NNS'), ('mindset', 'VBP'), ('opportunity', 'NN'), ('promotion', 'NN'), ('joining', 'VBG'), ('many', 'JJ'), ('scope', 'VBP'), ('respectful', 'JJ'), ('manager', 'NN')]",Positive
Gain a bit of experience,Gain a bit of experience,gain a bit of experience,gain bit experience,gain bit experience,"['gain', 'bit', 'experience']","[('gain', 'NN'), ('bit', 'NN'), ('experience', 'NN')]",Positive
supportive good working environment good salary,supportive good working environment good salary,supportive good working environment good salary,supportive good working environment good salary,supportive good working environment good salary,"['supportive', 'good', 'working', 'environment', 'good', 'salary']","[('supportive', 'JJ'), ('good', 'JJ'), ('working', 'NN'), ('environment', 'NN'), ('good', 'JJ'), ('salary', 'NN')]",Positive
Amazing managers and work environment,Amazing managers and work environment,amazing managers and work environment,amazing managers work environment,amazing manager work environment,"['amazing', 'manager', 'work', 'environment']","[('amazing', 'JJ'), ('manager', 'NN'), ('work', 'NN'), ('environment', 'NN')]",Positive
You will learn a lot due so many work,You will learn a lot due so many work,you will learn a lot due so many work,learn lot due many work,learn lot due many work,"['learn', 'lot', 'due', 'many', 'work']","[('learn', 'NN'), ('lot', 'NN'), ('due', 'JJ'), ('many', 'JJ'), ('work', 'NN')]",Neutral
Good environment in general at adib,Good environment in general at adib,good environment in general at adib,good environment general adib,good environment general adib,"['good', 'environment', 'general', 'adib']","[('good', 'JJ'), ('environment', 'NN'), ('general', 'JJ'), ('adib', 'NN')]",Positive
* Respectful * Good team Management * Friendly and understanding boss and team members,* Respectful * Good team Management * Friendly and understanding boss and team members, respectful  good team management  friendly and understanding boss and team members,respectful good team management friendly understanding boss team members,respectful good team management friendly understanding bos team member,"['respectful', 'good', 'team', 'management', 'friendly', 'understanding', 'bos', 'team', 'member']","[('respectful', 'JJ'), ('good', 'JJ'), ('team', 'NN'), ('management', 'NN'), ('friendly', 'RB'), ('understanding', 'JJ'), ('bos', 'NNS'), ('team', 'NN'), ('member', 'NN')]",Positive
"Good Team, decent pay with good leadership. Very good organization for Emirati National with greater support","Good Team, decent pay with good leadership. Very good organization for Emirati National with greater support",good team decent pay with good leadership very good organization for emirati national with greater support,good team decent pay good leadership good organization emirati national greater support,good team decent pay good leadership good organization emirati national greater support,"['good', 'team', 'decent', 'pay', 'good', 'leadership', 'good', 'organization', 'emirati', 'national', 'greater', 'support']","[('good', 'JJ'), ('team', 'NN'), ('decent', 'JJ'), ('pay', 'NN'), ('good', 'JJ'), ('leadership', 'NN'), ('good', 'JJ'), ('organization', 'NN'), ('emirati', 'VBP'), ('national', 'JJ'), ('greater', 'JJR'), ('support', 'NN')]",Positive
Stability in work environment overall,Stability in work environment overall,stability in work environment overall,stability work environment overall,stability work environment overall,"['stability', 'work', 'environment', 'overall']","[('stability', 'NN'), ('work', 'NN'), ('environment', 'NN'), ('overall', 'JJ')]",Neutral
Able to handle pressure and extensive work load,Able to handle pressure and extensive work load,able to handle pressure and extensive work load,able handle pressure extensive work load,able handle pressure extensive work load,"['able', 'handle', 'pressure', 'extensive', 'work', 'load']","[('able', 'JJ'), ('handle', 'JJ'), ('pressure', 'NN'), ('extensive', 'JJ'), ('work', 'NN'), ('load', 'NN')]",Negative
Financial Revenues of the bank across the years,Financial Revenues of the bank across the years,financial revenues of the bank across the years,financial revenues bank across years,financial revenue bank across year,"['financial', 'revenue', 'bank', 'across', 'year']","[('financial', 'JJ'), ('revenue', 'NN'), ('bank', 'NN'), ('across', 'IN'), ('year', 'NN')]",Neutral
They care about the customers over the employe and they care about the customers happiness more.,They care about the customers over the employe and they care about the customers happiness more.,they care about the customers over the employe and they care about the customers happiness more,care customers employe care customers happiness,care customer employe care customer happiness,"['care', 'customer', 'employe', 'care', 'customer', 'happiness']","[('care', 'NN'), ('customer', 'NN'), ('employe', 'NN'), ('care', 'NN'), ('customer', 'NN'), ('happiness', 'NN')]",Positive
average pay at best good commission structure decent or good boss if God is on your side,average pay at best good commission structure decent or good boss if God is on your side,average pay at best good commission structure decent or good boss if god is on your side,average pay best good commission structure decent good boss god side,average pay best good commission structure decent good bos god side,"['average', 'pay', 'best', 'good', 'commission', 'structure', 'decent', 'good', 'bos', 'god', 'side']","[('average', 'JJ'), ('pay', 'NN'), ('best', 'JJS'), ('good', 'JJ'), ('commission', 'NN'), ('structure', 'NN'), ('decent', 'JJ'), ('good', 'JJ'), ('bos', 'NN'), ('god', 'NNS'), ('side', 'NN')]",Positive
Islamic Banking industry Good environment,Islamic Banking industry Good environment,islamic banking industry good environment,islamic banking industry good environment,islamic banking industry good environment,"['islamic', 'banking', 'industry', 'good', 'environment']","[('islamic', 'JJ'), ('banking', 'NN'), ('industry', 'NN'), ('good', 'JJ'), ('environment', 'NN')]",Positive
Good people Organized work Clear goals,Good people Organized work Clear goals,good people organized work clear goals,good people organized work clear goals,good people organized work clear goal,"['good', 'people', 'organized', 'work', 'clear', 'goal']","[('good', 'JJ'), ('people', 'NNS'), ('organized', 'VBN'), ('work', 'NN'), ('clear', 'JJ'), ('goal', 'NN')]",Positive
Environment Managers Product Cooperation Salaries,Environment Managers Product Cooperation Salaries,environment managers product cooperation salaries,environment managers product cooperation salaries,environment manager product cooperation salary,"['environment', 'manager', 'product', 'cooperation', 'salary']","[('environment', 'NN'), ('manager', 'NN'), ('product', 'NN'), ('cooperation', 'NN'), ('salary', 'NN')]",Neutral
Good environment and team are friendly,Good environment and team are friendly,good environment and team are friendly,good environment team friendly,good environment team friendly,"['good', 'environment', 'team', 'friendly']","[('good', 'JJ'), ('environment', 'NN'), ('team', 'NN'), ('friendly', 'RB')]",Positive
Cross functional collaboration &amp; communication is easier,Cross functional collaboration &amp; communication is easier,cross functional collaboration amp communication is easier,cross functional collaboration amp communication easier,cross functional collaboration amp communication easier,"['cross', 'functional', 'collaboration', 'amp', 'communication', 'easier']","[('cross', 'JJ'), ('functional', 'JJ'), ('collaboration', 'NN'), ('amp', 'NN'), ('communication', 'NN'), ('easier', 'JJR')]",Positive
Huge portfolio which leads to great experience,Huge portfolio which leads to great experience,huge portfolio which leads to great experience,huge portfolio leads great experience,huge portfolio lead great experience,"['huge', 'portfolio', 'lead', 'great', 'experience']","[('huge', 'JJ'), ('portfolio', 'NN'), ('lead', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",Positive
Nothing positive about this place,Nothing positive about this place,nothing positive about this place,nothing positive place,nothing positive place,"['nothing', 'positive', 'place']","[('nothing', 'NN'), ('positive', 'JJ'), ('place', 'NN')]",Negative
"Good Employer, Stable Organisation, Good Leadership Team","Good Employer, Stable Organisation, Good Leadership Team",good employer stable organisation good leadership team,good employer stable organisation good leadership team,good employer stable organisation good leadership team,"['good', 'employer', 'stable', 'organisation', 'good', 'leadership', 'team']","[('good', 'JJ'), ('employer', 'NN'), ('stable', 'JJ'), ('organisation', 'NN'), ('good', 'JJ'), ('leadership', 'NN'), ('team', 'NN')]",Positive
Good opportunity to improve and good value for staff,Good opportunity to improve and good value for staff,good opportunity to improve and good value for staff,good opportunity improve good value staff,good opportunity improve good value staff,"['good', 'opportunity', 'improve', 'good', 'value', 'staff']","[('good', 'JJ'), ('opportunity', 'NN'), ('improve', 'VB'), ('good', 'JJ'), ('value', 'NN'), ('staff', 'NN')]",Positive
Half day in Friday No works in weekends,Half day in Friday No works in weekends,half day in friday no works in weekends,half day friday works weekends,half day friday work weekend,"['half', 'day', 'friday', 'work', 'weekend']","[('half', 'DT'), ('day', 'NN'), ('friday', 'JJ'), ('work', 'NN'), ('weekend', 'NN')]",Negative
"One of the largest Banking institute in UAE with employess more than 6500. Having a large network, offering diversified banking services int he region.","One of the largest Banking institute in UAE with employess more than 6500. Having a large network, offering diversified banking services int he region.",one of the largest banking institute in uae with employess more than 6500 having a large network offering diversified banking services int he region,one largest banking institute uae employess 6500 large network offering diversified banking services int region,one largest banking institute uae employess 6500 large network offering diversified banking service int region,"['one', 'largest', 'banking', 'institute', 'uae', 'employess', '6500', 'large', 'network', 'offering', 'diversified', 'banking', 'service', 'int', 'region']","[('one', 'CD'), ('largest', 'JJS'), ('banking', 'VBG'), ('institute', 'NN'), ('uae', 'NN'), ('employess', 'NN'), ('6500', 'CD'), ('large', 'JJ'), ('network', 'NN'), ('offering', 'NN'), ('diversified', 'VBD'), ('banking', 'NN'), ('service', 'NN'), ('int', 'NN'), ('region', 'NN')]",Neutral
very good place to work,very good place to work,very good place to work,good place work,good place work,"['good', 'place', 'work']","[('good', 'JJ'), ('place', 'NN'), ('work', 'NN')]",Positive
Nice envioment and great experiance,Nice envioment and great experiance,nice envioment and great experiance,nice envioment great experiance,nice envioment great experiance,"['nice', 'envioment', 'great', 'experiance']","[('nice', 'JJ'), ('envioment', 'NN'), ('great', 'JJ'), ('experiance', 'NN')]",Positive
Flexible Nice environment Incentive Time,Flexible Nice environment Incentive Time,flexible nice environment incentive time,flexible nice environment incentive time,flexible nice environment incentive time,"['flexible', 'nice', 'environment', 'incentive', 'time']","[('flexible', 'JJ'), ('nice', 'JJ'), ('environment', 'NN'), ('incentive', 'NN'), ('time', 'NN')]",Positive
